"filename", "language", "Markdown", "C", "C++", "Makefile", "CMake", "Python", "YAML", "Ruby", "Shell Script", "Properties", "Handlebars", "JSON", "reStructuredText", "HTML", "JavaScript", "CSS", "pip requirements", "comment", "blank", "total"
"c:\Users\slj\Desktop\Elabel\components\network\include\blufi.h", "C++", 0, 0, 579, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 66, 692
"c:\Users\slj\Desktop\Elabel\components\network\include\network.h", "C++", 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 47
"c:\Users\slj\Desktop\Elabel\components\network\network.c", "C", 0, 230, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 31, 298
"c:\Users\slj\Desktop\Elabel\components\ota\CMakeLists.txt", "CMake", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\slj\Desktop\Elabel\components\ota\include\ota.h", "C++", 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 33
"c:\Users\slj\Desktop\Elabel\components\ota\ota.c", "C", 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10, 52
"c:\Users\slj\Desktop\Elabel\components\ui\CMakeLists.txt", "CMake", 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39
"c:\Users\slj\Desktop\Elabel\components\ui\components\ui_comp_hook.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 2, 6
"c:\Users\slj\Desktop\Elabel\components\ui\images\ui_img_accept_n_png.c", "C", 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 51
"c:\Users\slj\Desktop\Elabel\components\ui\images\ui_img_accept_y_png.c", "C", 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 50
"c:\Users\slj\Desktop\Elabel\components\ui\images\ui_img_activate1_png.c", "C", 0, 491, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 501
